date,tmax,tmin,tavg,departure,HDD,CDD,precipitation,new_snow,snow_depth
21/5/19,71,57,64,-1.2,1,0,0,0,0
22/5/19,76,57,66.5,1,0,2,0,0,0
23/5/19,75,58,66.5,0.7,0,2,0.48,0,0
24/5/19,74,63,68.5,2.4,0,4,0,0,0
25/5/19,70,57,63.5,-2.9,1,0,0,0,0
26/5/19,89,62,75.5,8.8,0,11,0.25,0,0
27/5/19,81,66,73.5,6.5,0,9,0,0,0
28/5/19,71,62,66.5,-0.8,0,2,0.19,0,0
29/5/19,68,56,62,-5.7,3,0,0.83,0,0
30/5/19,68,56,62,-6,3,0,0.8,0,0
31/5/19,81,61,71,2.7,0,6,T,0,0
1/6/19,80,63,71.5,2.9,0,7,0,0,0
2/6/19,83,63,73,4,0,8,0.39,0,0
3/6/19,72,60,66,-3.3,0,1,0,0,0
4/6/19,73,57,65,-4.7,0,0,0,0,0
5/6/19,82,66,74,4,0,9,T,0,0
6/6/19,83,71,77,6.7,0,12,0.05,0,0
7/6/19,81,63,72,1.3,0,7,0,0,0
8/6/19,80,63,71.5,0.5,0,7,0,0,0
9/6/19,78,61,69.5,-1.9,0,5,0,0,0
10/6/19,70,59,64.5,-7.2,0,0,0.78,0,0
11/6/19,77,64,70.5,-1.6,0,6,0.37,0,0
12/6/19,74,62,68,-4.4,0,3,0,0,0
13/6/19,65,57,61,-11.7,4,0,0.65,0,0
14/6/19,76,61,68.5,-4.6,0,4,0,0,0
15/6/19,84,62,73,-0.4,0,8,T,0,0
16/6/19,83,68,75.5,1.8,0,11,0.03,0,0
17/6/19,76,70,73,-1,0,8,T,0,0
18/6/19,75,65,70,-4.4,0,5,0.63,0,0
19/6/19,72,64,68,-6.7,0,3,0.06,0,0
20/6/19,78,62,70,-5,0,5,0.91,0,0
21/6/19,78,65,71.5,-3.8,0,7,0.54,0,0
22/6/19,80,63,71.5,-4.1,0,7,0,0,0
23/6/19,86,67,76.5,0.6,0,12,0,0,0
24/6/19,86,70,78,1.9,0,13,0,0,0
25/6/19,87,71,79,2.6,0,14,0.42,0,0
26/6/19,90,69,79.5,2.9,0,15,0,0,0
27/6/19,90,72,81,4.1,0,16,0,0,0
28/6/19,93,71,82,4.9,0,17,0,0,0
29/6/19,94,76,85,7.6,0,20,0.04,0,0
30/6/19,85,71,78,0.4,0,13,0.02,0,0
1/7/19,88,67,77.5,-0.3,0,13,0,0,0
2/7/19,88,75,81.5,3.5,0,17,0.01,0,0
3/7/19,87,75,81,2.9,0,16,T,0,0
4/7/19,93,71,82,3.7,0,17,0,0,0
5/7/19,85,72,78.5,0,0,14,0,0,0
6/7/19,93,76,84.5,5.9,0,20,T,0,0
7/7/19,85,73,79,0.2,0,14,0,0,0
8/7/19,82,69,75.5,-3.4,0,11,0.02,0,0
9/7/19,89,71,80,1,0,15,0,0,0
10/7/19,91,74,82.5,3.4,0,18,0,0,0
11/7/19,86,74,80,0.8,0,15,0.72,0,0
12/7/19,89,74,81.5,2.2,0,17,T,0,0
13/7/19,89,72,80.5,1.2,0,16,0,0,0
14/7/19,92,78,85,5.6,0,20,0,0,0
15/7/19,89,72,80.5,1,0,16,0,0,0
16/7/19,94,73,83.5,4,0,19,0,0,0
17/7/19,95,73,84,4.5,0,19,2.67,0,0
18/7/19,78,71,74.5,-5.1,0,10,0.32,0,0
19/7/19,95,71,83,3.4,0,18,0,0,0
20/7/19,99,83,91,11.4,0,26,0,0,0
21/7/19,100,83,91.5,11.9,0,27,0.01,0,0
22/7/19,91,74,82.5,2.9,0,18,1.24,0,0
23/7/19,77,68,72.5,-7.1,0,8,0.52,0,0
24/7/19,85,69,77,-2.6,0,12,0.02,0,0
25/7/19,86,72,79,-0.5,0,14,0,0,0
26/7/19,88,72,80,0.5,0,15,0,0,0
27/7/19,87,75,81,1.5,0,16,0,0,0
28/7/19,93,75,84,4.6,0,19,T,0,0
29/7/19,94,77,85.5,6.1,0,21,0,0,0
30/7/19,95,81,88,8.7,0,23,T,0,0
31/7/19,90,72,81,1.7,0,16,0.58,0,0
1/8/19,88,73,80.5,1.3,0,16,0,0,0
2/8/19,88,73,80.5,1.3,0,16,0,0,0
3/8/19,89,70,79.5,0.4,0,15,0.12,0,0
4/8/19,88,71,79.5,0.4,0,15,0,0,0
5/8/19,81,71,76,-3,0,11,0,0,0
6/8/19,83,72,77.5,-1.4,0,13,0,0,0
7/8/19,87,70,78.5,-0.3,0,14,0.62,0,0
8/8/19,92,70,81,2.2,0,16,0.1,0,0
9/8/19,87,72,79.5,0.8,0,15,T,0,0
10/8/19,83,70,76.5,-2.1,0,12,0,0,0
11/8/19,83,68,75.5,-3,0,11,0,0,0
12/8/19,89,72,80.5,2.1,0,16,0,0,0
13/8/19,80,75,77.5,-0.8,0,13,0.02,0,0
14/8/19,83,72,77.5,-0.7,0,13,0,0,0
15/8/19,85,72,78.5,0.4,0,14,0,0,0
16/8/19,83,70,76.5,-1.5,0,12,T,0,0
17/8/19,86,73,79.5,1.7,0,15,T,0,0
18/8/19,91,74,82.5,4.8,0,18,0.59,0,0
19/8/19,93,75,84,6.4,0,19,0,0,0
20/8/19,89,76,82.5,5,0,18,0,0,0
21/8/19,91,78,84.5,7.2,0,20,0.35,0,0
22/8/19,93,71,82,4.8,0,17,1.18,0,0
23/8/19,76,66,71,-6,0,6,0.06,0,0
24/8/19,77,64,70.5,-6.3,0,6,0,0,0
25/8/19,77,66,71.5,-5.2,0,7,0,0,0
26/8/19,74,61,67.5,-9,0,3,0,0,0
27/8/19,76,65,70.5,-5.8,0,6,0,0,0
28/8/19,76,69,72.5,-3.6,0,8,0.1,0,0
29/8/19,84,69,76.5,0.6,0,12,0,0,0
30/8/19,89,70,79.5,3.8,0,15,0,0,0
31/8/19,82,71,76.5,1,0,12,0,0,0
1/9/19,78,65,71.5,-3.7,0,7,0,0,0
2/9/19,79,70,74.5,-0.5,0,10,0.51,0,0
3/9/19,82,69,75.5,0.8,0,11,0,0,0
4/9/19,89,70,79.5,5,0,15,0,0,0
5/9/19,74,65,69.5,-4.7,0,5,0,0,0
6/9/19,69,60,64.5,-9.5,0,0,0.03,0,0
7/9/19,77,58,67.5,-6.2,0,3,T,0,0
8/9/19,79,67,73,-0.4,0,8,0,0,0
9/9/19,77,66,71.5,-1.6,0,7,0,0,0
10/9/19,78,68,73,0.2,0,8,T,0,0
11/9/19,91,70,80.5,8,0,16,0,0,0
12/9/19,83,64,73.5,1.3,0,9,0.07,0,0
13/9/19,73,60,66.5,-5.3,0,2,0,0,0
14/9/19,78,63,70.5,-1,0,6,0,0,0
15/9/19,85,71,78,6.8,0,13,0,0,0
16/9/19,77,70,73.5,2.7,0,9,T,0,0
17/9/19,79,63,71,0.5,0,6,0,0,0
18/9/19,70,58,64,-6.1,1,0,0,0,0
19/9/19,71,54,62.5,-7.3,2,0,0,0,0
20/9/19,79,60,69.5,0.1,0,5,0,0,0
21/9/19,86,63,74.5,5.4,0,10,0,0,0
22/9/19,86,68,77,8.3,0,12,0,0,0
23/9/19,90,72,81,12.7,0,16,0.03,0,0
24/9/19,76,67,71.5,3.6,0,7,T,0,0
25/9/19,79,62,70.5,2.9,0,6,0,0,0
26/9/19,82,67,74.5,7.3,0,10,T,0,0
27/9/19,78,63,70.5,3.7,0,6,0,0,0
28/9/19,81,67,74,7.6,0,9,0,0,0
29/9/19,79,66,72.5,6.5,0,8,0,0,0
30/9/19,72,61,66.5,0.8,0,2,T,0,0
1/10/19,82,64,73,7.7,0,8,0,0,0
2/10/19,95,63,79,14.1,0,14,0.21,0,0
3/10/19,67,54,60.5,-4,4,0,0.23,0,0
4/10/19,66,50,58,-6.1,7,0,T,0,0
5/10/19,60,46,53,-10.7,12,0,0,0,0
6/10/19,71,57,64,0.7,1,0,0.01,0,0
7/10/19,79,60,69.5,6.5,0,5,0.03,0,0
8/10/19,66,59,62.5,-0.1,2,0,0.03,0,0
9/10/19,61,53,57,-5.2,8,0,0.54,0,0
10/10/19,72,53,62.5,0.7,2,0,T,0,0
11/10/19,66,55,60.5,-0.9,4,0,0,0,0
12/10/19,69,56,62.5,1.4,2,0,0,0,0
13/10/19,67,56,61.5,0.8,3,0,0,0,0
14/10/19,75,59,67,6.7,0,2,T,0,0
15/10/19,66,54,60,0,5,0,0,0,0
16/10/19,67,54,60.5,0.9,4,0,1.71,0,0
17/10/19,59,52,55.5,-3.7,9,0,T,0,0
18/10/19,59,49,54,-4.9,11,0,0,0,0
19/10/19,62,47,54.5,-4,10,0,0,0,0
20/10/19,59,51,55,-3.1,10,0,0.37,0,0
21/10/19,68,52,60,2.2,5,0,T,0,0
22/10/19,63,55,59,1.6,6,0,0.46,0,0
23/10/19,66,56,61,3.9,4,0,0.05,0,0
24/10/19,68,52,60,3.3,5,0,0,0,0
25/10/19,67,53,60,3.7,5,0,0,0,0
26/10/19,63,54,58.5,2.5,6,0,T,0,0
27/10/19,70,56,63,7.4,2,0,1.41,0,0
28/10/19,63,54,58.5,3.2,6,0,0,0,0
29/10/19,58,53,55.5,0.6,9,0,0.1,0,0
30/10/19,60,56,58,3.4,7,0,0.04,0,0
31/10/19,67,59,63,8.8,2,0,0.39,0,0
1/11/19,67,43,55,1.1,10,0,0.07,0,0
2/11/19,50,40,45,-8.6,20,0,0,0,0
3/11/19,53,44,48.5,-4.7,16,0,0,0,0
4/11/19,56,42,49,-3.9,16,0,0,0,0
5/11/19,61,50,55.5,3,9,0,0,0,0
6/11/19,55,48,51.5,-0.7,13,0,0,0,0
7/11/19,58,42,50,-1.9,15,0,0.08,0,0
8/11/19,42,31,36.5,-15,28,0,0,0,0
9/11/19,42,30,36,-15.2,29,0,0,0,0
10/11/19,52,39,45.5,-5.4,19,0,0,0,0
11/11/19,62,48,55,4.5,10,0,0,0,0
12/11/19,58,27,42.5,-7.7,22,0,0.02,0,0
13/11/19,35,24,29.5,-20.4,35,0,0,0,0
14/11/19,45,29,37,-12.5,28,0,0,0,0
15/11/19,52,38,45,-4.2,20,0,0,0,0
16/11/19,43,33,38,-10.9,27,0,0,0,0
17/11/19,44,31,37.5,-11.1,27,0,0,0,0
18/11/19,43,38,40.5,-7.7,24,0,0.43,T,0
19/11/19,49,41,45,-2.9,20,0,0.2,0,0
20/11/19,49,41,45,-2.6,20,0,0,0,0
21/11/19,53,39,46,-1.3,19,0,0,0,0
22/11/19,54,39,46.5,-0.5,18,0,0.07,0,0
23/11/19,46,36,41,-5.6,24,0,0.02,0,0
24/11/19,48,40,44,-2.3,21,0,0.72,0,0
25/11/19,53,41,47,1,18,0,0,0,0
26/11/19,60,44,52,6.3,13,0,0,0,0
27/11/19,58,46,52,6.6,13,0,0.02,0,0
28/11/19,55,39,47,1.9,18,0,0,0,0
29/11/19,42,32,37,-7.8,28,0,0,0,0
30/11/19,44,32,38,-6.5,27,0,0,0,0
1/12/19,41,30,35.5,-8.7,29,0,0.56,0.2,0
2/12/19,39,32,35.5,-8.4,29,0,0.4,0.3,0
3/12/19,38,32,35,-8.6,30,0,T,0.1,T
4/12/19,41,34,37.5,-5.8,27,0,T,T,0
5/12/19,43,38,40.5,-2.5,24,0,0,0,0
6/12/19,50,36,43,0.3,22,0,T,0,0
7/12/19,39,32,35.5,-6.9,29,0,0,0,0
8/12/19,44,28,36,-6.2,29,0,0,0,0
9/12/19,56,41,48.5,6.6,16,0,1.8,0,0
10/12/19,58,40,49,7.4,16,0,0.17,0,0
11/12/19,41,32,36.5,-4.8,28,0,0.29,0.9,1
12/12/19,36,27,31.5,-9.5,33,0,0,0,0
13/12/19,47,32,39.5,-1.3,25,0,1.01,0,0
14/12/19,56,45,50.5,10,14,0,1.13,0,0
15/12/19,50,38,44,3.8,21,0,0,0,0
16/12/19,38,34,36,-3.9,29,0,0.08,T,0
17/12/19,37,33,35,-4.7,30,0,0.9,T,0
18/12/19,37,23,30,-9.4,35,0,0.04,0.5,0
19/12/19,27,18,22.5,-16.7,42,0,T,T,T
20/12/19,34,24,29,-9.9,36,0,0,0,0
21/12/19,35,24,29.5,-9.1,35,0,0,0,0
22/12/19,47,30,38.5,0.1,26,0,0,0,0
23/12/19,57,38,47.5,9.4,17,0,0,0,0
24/12/19,48,36,42,4.1,23,0,0,0,0
25/12/19,43,34,38.5,0.8,26,0,0,0,0
26/12/19,46,36,41,3.6,24,0,0,0,0
27/12/19,54,42,48,10.8,17,0,T,0,0
28/12/19,50,44,47,10,18,0,0,0,0
29/12/19,44,38,41,4.3,24,0,0.29,0,0
30/12/19,43,38,40.5,4,24,0,0.49,0,0
31/12/19,46,38,42,5.7,23,0,0.01,0,0
